Epoch 19, ResNet50 Train Loss: 0.0163, Train Acc: 0.9953, Val Loss: 0.1049, Val Acc: 0.9766, EfficientNet-B3 Train Loss: 0.0176, Train Acc: 0.9973, Val Loss: 0.0914, Val Acc: 0.9766, ViT Train Loss: 0.0109, Train Acc: 0.9957, Val Loss: 0.1514, Val Acc: 0.9719
Epoch 20, ResNet50 Train Loss: 0.0102, Train Acc: 0.9973, Val Loss: 0.0959, Val Acc: 0.9781, EfficientNet-B3 Train Loss: 0.0202, Train Acc: 0.9961, Val Loss: 0.0931, Val Acc: 0.9750, ViT Train Loss: 0.0083, Train Acc: 0.9969, Val Loss: 0.1353, Val Acc: 0.9750
Epoch 21, ResNet50 Train Loss: 0.0101, Train Acc: 0.9977, Val Loss: 0.1243, Val Acc: 0.9703, EfficientNet-B3 Train Loss: 0.0208, Train Acc: 0.9945, Val Loss: 0.1188, Val Acc: 0.9750, ViT Train Loss: 0.0091, Train Acc: 0.9965, Val Loss: 0.1289, Val Acc: 0.9719
Epoch 22, ResNet50 Train Loss: 0.0082, Train Acc: 0.9977, Val Loss: 0.1285, Val Acc: 0.9688, EfficientNet-B3 Train Loss: 0.0154, Train Acc: 0.9957, Val Loss: 0.1214, Val Acc: 0.9734, ViT Train Loss: 0.0069, Train Acc: 0.9961, Val Loss: 0.1163, Val Acc: 0.9750
Epoch 23, ResNet50 Train Loss: 0.0080, Train Acc: 0.9977, Val Loss: 0.1091, Val Acc: 0.9750, EfficientNet-B3 Train Loss: 0.0161, Train Acc: 0.9961, Val Loss: 0.0968, Val Acc: 0.9797, ViT Train Loss: 0.0053, Train Acc: 0.9977, Val Loss: 0.1286, Val Acc: 0.9719
Epoch 24, ResNet50 Train Loss: 0.0076, Train Acc: 0.9973, Val Loss: 0.1389, Val Acc: 0.9734, EfficientNet-B3 Train Loss: 0.0154, Train Acc: 0.9973, Val Loss: 0.0912, Val Acc: 0.9734, ViT Train Loss: 0.0056, Train Acc: 0.9980, Val Loss: 0.1299, Val Acc: 0.9750
Epoch 25, ResNet50 Train Loss: 0.0052, Train Acc: 0.9996, Val Loss: 0.1247, Val Acc: 0.9797, EfficientNet-B3 Train Loss: 0.0124, Train Acc: 0.9977, Val Loss: 0.0922, Val Acc: 0.9797, ViT Train Loss: 0.0045, Train Acc: 0.9984, Val Loss: 0.1267, Val Acc: 0.9766
Epoch 26, ResNet50 Train Loss: 0.0083, Train Acc: 0.9973, Val Loss: 0.1270, Val Acc: 0.9734, EfficientNet-B3 Train Loss: 0.0169, Train Acc: 0.9945, Val Loss: 0.0911, Val Acc: 0.9734, ViT Train Loss: 0.0047, Train Acc: 0.9980, Val Loss: 0.1161, Val Acc: 0.9797
Epoch 27, ResNet50 Train Loss: 0.0112, Train Acc: 0.9965, Val Loss: 0.1164, Val Acc: 0.9750, EfficientNet-B3 Train Loss: 0.0178, Train Acc: 0.9941, Val Loss: 0.1078, Val Acc: 0.9750, ViT Train Loss: 0.0063, Train Acc: 0.9977, Val Loss: 0.1262, Val Acc: 0.9750
Epoch 28, ResNet50 Train Loss: 0.0120, Train Acc: 0.9961, Val Loss: 0.1267, Val Acc: 0.9766, EfficientNet-B3 Train Loss: 0.0151, Train Acc: 0.9953, Val Loss: 0.0993, Val Acc: 0.9734, ViT Train Loss: 0.0062, Train Acc: 0.9977, Val Loss: 0.1304, Val Acc: 0.9750
Epoch 29, ResNet50 Train Loss: 0.0059, Train Acc: 0.9984, Val Loss: 0.1276, Val Acc: 0.9719, EfficientNet-B3 Train Loss: 0.0192, Train Acc: 0.9965, Val Loss: 0.0993, Val Acc: 0.9781, ViT Train Loss: 0.0045, Train Acc: 0.9988, Val Loss: 0.1289, Val Acc: 0.9719
Epoch 30, ResNet50 Train Loss: 0.0056, Train Acc: 0.9980, Val Loss: 0.1301, Val Acc: 0.9750, EfficientNet-B3 Train Loss: 0.0208, Train Acc: 0.9938, Val Loss: 0.0748, Val Acc: 0.9859, ViT Train Loss: 0.0038, Train Acc: 0.9984, Val Loss: 0.1276, Val Acc: 0.9719
Test Accuracy: 95.71%
Test F1 Score: 0.9575
Test Precision: 0.9586
